id,file,junit_status,category,subcategory,expected_action,task1_impact,stable_6of6,message
tests/unit/test_地板搬迁_列表_S2.py::test_十个段落全部导出且两版都可调用,tests/unit/test_地板搬迁_列表_S2.py,failure,语义债-其他,,逐条归因：stdlib_phase3 网络运行时行为、URL 编码、null_safety 断言、R13B/R13C 对拍等,,True,"AssertionError: assert ['冻结', '列', '..., '列表弹出', ...] == ['列', '列表创建',..., '列表排序', ...]      At index 0 diff: '冻结' != '列'   Left contains 3 more items, first extra item: '副本'   Use -v to get more diff"
tests/test_datetime.py::test_公历转农历,tests/test_datetime.py,failure,环境红-缺依赖,lunardate,环境红：永久豁免（0.82 不装第三方库为既定口径）；若环境决策改变（装 cryptography/lunardate/requests）可整类解锁,,True,RuntimeError: 农历转换需要 lunardate 库，请执行: pip install lunardate
tests/test_datetime.py::test_农历转公历,tests/test_datetime.py,failure,环境红-缺依赖,lunardate,环境红：永久豁免（0.82 不装第三方库为既定口径）；若环境决策改变（装 cryptography/lunardate/requests）可整类解锁,,True,RuntimeError: 农历转换需要 lunardate 库，请执行: pip install lunardate
tests/test_datetime.py::test_日期时间转农历,tests/test_datetime.py,failure,环境红-缺依赖,lunardate,环境红：永久豁免（0.82 不装第三方库为既定口径）；若环境决策改变（装 cryptography/lunardate/requests）可整类解锁,,True,RuntimeError: 农历转换需要 lunardate 库，请执行: pip install lunardate
tests/test_datetime.py::test_日期转农历,tests/test_datetime.py,failure,环境红-缺依赖,lunardate,环境红：永久豁免（0.82 不装第三方库为既定口径）；若环境决策改变（装 cryptography/lunardate/requests）可整类解锁,,True,RuntimeError: 农历转换需要 lunardate 库，请执行: pip install lunardate
tests/test_datetime.py::test_春节日期,tests/test_datetime.py,failure,环境红-缺依赖,lunardate,环境红：永久豁免（0.82 不装第三方库为既定口径）；若环境决策改变（装 cryptography/lunardate/requests）可整类解锁,,True,RuntimeError: 农历转换需要 lunardate 库，请执行: pip install lunardate
tests/test_datetime.py::test_中秋日期,tests/test_datetime.py,failure,环境红-缺依赖,lunardate,环境红：永久豁免（0.82 不装第三方库为既定口径）；若环境决策改变（装 cryptography/lunardate/requests）可整类解锁,,True,RuntimeError: 农历转换需要 lunardate 库，请执行: pip install lunardate
tests/test_datetime.py::test_端午日期,tests/test_datetime.py,failure,环境红-缺依赖,lunardate,环境红：永久豁免（0.82 不装第三方库为既定口径）；若环境决策改变（装 cryptography/lunardate/requests）可整类解锁,,True,RuntimeError: 农历转换需要 lunardate 库，请执行: pip install lunardate
tests/test_datetime.py::test_中国节假日,tests/test_datetime.py,failure,环境红-缺依赖,lunardate,环境红：永久豁免（0.82 不装第三方库为既定口径）；若环境决策改变（装 cryptography/lunardate/requests）可整类解锁,,True,RuntimeError: 农历转换需要 lunardate 库，请执行: pip install lunardate
tests/unit/test_lexer.py::TestLexer::test_chinese_number,tests/unit/test_lexer.py,failure,词法层-切词行为,,词法轮：与 R57 任务1 同族，逐条归因（含 R36 钉现状对表）,,True,AssertionError: 0 != 2
tests/unit/test_lexer.py::TestLexer::test_number_prefix_still_split_when_rest_is_keyword,tests/unit/test_lexer.py,failure,词法层-切词行为,,词法轮：与 R57 任务1 同族，逐条归因（含 R36 钉现状对表）,,True,"AssertionError: Tuples differ: ('IDENTIFIER', '那么大') != ('KEYWORD', '那么')  First differing element 0: 'IDENTIFIER' 'KEYWORD'  - ('IDENTIFIER', '那么大') + ('KEYWORD', '那么')"
tests/unit/test_lexer.py::TestLexer::test_simple_tokenize,tests/unit/test_lexer.py,failure,词法层-切词行为,,词法轮：与 R57 任务1 同族，逐条归因（含 R36 钉现状对表）,,True,"AssertionError: <TokenType.CHINESE_NUM: 5> not found in [<TokenType.KEYWORD: 7>, <TokenType.IDENTIFIER: 6>, <TokenType.PERIOD: 10>, <TokenType.EOF: 43>]"
tests/unit/test_parser.py::TestParser::test_compact_binary_expr_with_call,tests/unit/test_parser.py,failure,语义债-其他,,逐条归因：stdlib_phase3 网络运行时行为、URL 编码、null_safety 断言、R13B/R13C 对拍等,,True,AssertionError: 'n乘阶乘' == 'n乘阶乘'
tests/unit/test_native_leg_capability.py::test_内置函数清单与代码一致,tests/unit/test_native_leg_capability.py,failure,语义债-内置清单同步,内置函数/运行时符号清单与代码不同步,低垂果实：重跑清单再生成脚本对齐 JSON（3 条）,,True,"AssertionError: 内置函数清单与代码不一致:     代码有但 JSON 没有: ['is_bool', 'is_dict', 'is_float', 'is_int', 'is_integer', 'is_list', 'is_map', 'is_number', 'is_str', 'is_string', '是列表', '是字典', '是字符串', '是布尔', '是数值', '是数字', '是数组', '是整数', '是浮点', '是浮点数']     JSON 有但代码没有: [] assert {'?.', '??', ...ception', ...} == fro"
tests/unit/test_native_leg_capability.py::test_内置函数证据行号可定位,tests/unit/test_native_leg_capability.py,failure,语义债-内置清单同步,内置函数/运行时符号清单与代码不同步,低垂果实：重跑清单再生成脚本对齐 JSON（3 条）,,True,"AssertionError: 内置函数证据行号问题:   ?.: codegen_typed.py:2912 那一行没有这个名字：   ??: codegen_typed.py:2903 那一行没有这个名字：slot1 = self._store_dv(args[1])   ArithmeticError: codegen_typed.py:1857 那一行没有这个名字：'读取错误', '请求错误', 'Exception', 'RuntimeException', 'ValueError   Base64编码: codegen_typed.py:2510 那一行没有这个名字：# 以避免「段"
tests/unit/test_native_leg_capability.py::test_运行时符号清单与代码一致,tests/unit/test_native_leg_capability.py,failure,语义债-内置清单同步,内置函数/运行时符号清单与代码不同步,低垂果实：重跑清单再生成脚本对齐 JSON（3 条）,,True,"AssertionError: 运行时符号清单与代码不一致:     代码有但 JSON 没有: ['strcmp']     JSON 有但代码没有: [] assert {'_setjmp', '...nd_file', ...} == frozenset({'_...d_file', ...})      Extra items in the left set:   'strcmp'   Use -v to get more diff"
tests/test_lexer.py::test_basic_keywords,tests/test_lexer.py,failure,词法层-切词行为,R36 钉现状：无空格 设甲为三 期望整体成词（与 G5 修复方向需对表）,词法轮：与 R57 任务1 同族，逐条归因（含 R36 钉现状对表）,受任务1a 影响：R36 钉现状期望 设甲为三 整体成词，与 smoke 期望方向需对表，可能转绿或需改钉,True,"AssertionError: R36 钉现状失败：无空格 设甲为三 应整体成一个标识符，得到 ['设', '甲为三', '。'] assert ['设', '甲为三', '。'] == ['设甲为三', '。']      At index 0 diff: '设' != '设甲为三'   Left contains one more item: '。'   Use -v to get more diff"
